"user_id","company","title","industry","location","description","startdate","enddate"
"4623349305832010931","--","Qualified Expert in Radiation Protection (Italian D. L. 241/2000)","","","","2009-05-01",""
"-6879413768883113822",".",".","","Nigeria","","2017-01-01","2018-01-01"
"-2153828059147351406","*","datacenter*","","","","2003-01-01",""
"3366566087982267967","-","Nonprofit Social Entrepreneur/Health Activist","","","On par with UN's Sustainable developmental goal 3. Good health and Wellbeing: - I am promoting healthy lives and well-being in the most underdeveloped and developing societies of the world. - Creating public awareness of important health issues through videos\, films\, blogs\, and posts. - Communication of relevant health information related to health\, hygiene and nutrition to the general public. - Research and Scriptwriting. - Video and film production and editing. - Content creation for social media.","2019-10-01",""
"-1427252916125686671","-","Au pair plus","","Londres\, Inglaterra\, Reino Unido","","2013-10-01","2014-10-01"
"-6901661288457695676","/","Kursleiterin für achtsames Zeichnen & körperorientierte Meditation (\"mindfulness based drawing\")","","Saarbrucken und Umgebung\, Deutschland/Frankreich","Eine Kombination aus körperorientierten Kurzmeditationen und einfachen\, amüsanten Zeichenübungen zeigt uns\, wie wir als ganzer Mensch präsent sein können. Wir lauschen auf unseren Geist und Körper und fertigen in Stille und ohne Anspruch an uns selbst absichtlich unperfekte „Kurzbilder“ an. Dabei lassen wir uns – teilweise ohne aufs Blatt zu schauen – auf unsere Intuition/Fantasie oder auf bestimmte Objekte ein\, spüren uns im Fluss und dürfen die Ergebnisse „so stehen lassen“. Eine entstressende\, poetische Erkundungsreise\, die alle Sinne anspricht.","2013-05-01",""
"8239982450312937850","-","Electricista","","Provincia de Formosa\, Argentina","Realizo trabajos de electricidad en domicilios","2016-03-01",""
"5246094359683400404",".","Volgt studie","","Apeldoorn en omgeving\, Nederland","","2015-01-01",""
"2966904951080511332","","Arbejdsledig","","","","2014-03-01","2014-03-01"
"6768562464673338709","-","Special Education Teacher","","Newcastle\, Australia","","2017-09-01",""
"-7590922514630403626",".","Company Secretary","","S.G.Highway\, Ahmedabad.","Ahmedabad.","2016-01-01",""
"-5045961426856573601","-","Exportación comercial","","","","2020-02-01",""
"-2664962136843668326",".","Interim-Manager","","","","2020-11-01",""
"-2817662997949979362","....","Estou em Busca do Meu Primeiro Emprego","","Volta Redonda\, Rio de Janeiro","","",""
"2771754992739217083",".","pajak masukan","","","","2018-09-01",""
